Continent ID,Continent,Country ID,Country,ISO 3,Trade Value,Year
eu,Europe,euaut,Austria,aut,1140151.0,2013
eu,Europe,eubel,Belgium,bel,10738608.0,2013
eu,Europe,euche,Switzerland,che,56878873.0,2013
eu,Europe,eucze,Czechia,cze,12166.0,2013
eu,Europe,eudeu,Germany,deu,6467536.0,2013
eu,Europe,euesp,Spain,esp,70553.0,2013
eu,Europe,euest,Estonia,est,3950054.000000001,2013
eu,Europe,eufra,France,fra,13897.0,2013
eu,Europe,eugbr,United Kingdom,gbr,51690007.99999999,2013
eu,Europe,euhrv,Croatia,hrv,7833.0,2013
eu,Europe,euhun,Hungary,hun,393.0,2013
eu,Europe,euita,Italy,ita,890260.0000000001,2013
eu,Europe,eultu,Lithuania,ltu,15252.000000000002,2013
eu,Europe,eulva,Latvia,lva,12140.999999999998,2013
eu,Europe,eunld,Netherlands,nld,151476.0,2013
eu,Europe,eupol,Poland,pol,170.0,2013
eu,Europe,euprt,Portugal,prt,387570.0,2013
eu,Europe,eurus,Russia,rus,3346.0,2013
eu,Europe,eusvn,Slovenia,svn,253.0,2013
eu,Europe,euswe,Sweden,swe,138127.0,2013
na,North America,nabrb,Barbados,brb,10690.0,2013
na,North America,nacan,Canada,can,26204.000000000004,2013
na,North America,nacub,Cuba,cub,545.0,2013
na,North America,nacym,Cayman Islands,cym,60000.0,2013
na,North America,nadom,Dominican Republic,dom,93011.0,2013
na,North America,nagrd,Grenada,grd,6988.0,2013
na,North America,nagtm,Guatemala,gtm,31187.0,2013
na,North America,nahnd,Honduras,hnd,828.0,2013
na,North America,nahti,Haiti,hti,859.0000000000001,2013
na,North America,najam,Jamaica,jam,25658.0,2013
na,North America,namex,Mexico,mex,48298701.0,2013
na,North America,napan,Panama,pan,26400.0,2013
na,North America,natto,Trinidad and Tobago,tto,19182.000000000004,2013
na,North America,nausa,United States,usa,57146766.0,2013
oc,Oceania,ocaus,Australia,aus,1182888.0,2013
oc,Oceania,ocnzl,New Zealand,nzl,21617.0,2013
sa,South America,saarg,Argentina,arg,11088.0,2013
sa,South America,sabol,Bolivia,bol,998.0,2013
sa,South America,sabra,Brazil,bra,1187073.9999999998,2013
sa,South America,saecu,Ecuador,ecu,594.0,2013
sa,South America,saper,Peru,per,9005.0,2013
sa,South America,sasur,Suriname,sur,10579.0,2013
sa,South America,saven,Venezuela,ven,270000.0,2013
af,Africa,afbfa,Burkina Faso,bfa,28339.0,2014
af,Africa,afbwa,Botswana,bwa,461.0,2014
af,Africa,afciv,Cote d'Ivoire,civ,3501.0000000000005,2014
af,Africa,afgab,Gabon,gab,27509.0,2014
af,Africa,afmar,Morocco,mar,11.000000000000002,2014
af,Africa,afmoz,Mozambique,moz,2234319.0,2014
af,Africa,afnga,Nigeria,nga,415728.0,2014
af,Africa,afswz,Eswatini,swz,356.00000000000006,2014
