Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Niger,"3,491","3,271","3,372","3,041","1,935","2,296","2,397","2,285","2,639","2,532"
Burkina Faso,"3,488","3,526","3,775","3,599","2,164","2,676","2,909","2,753","3,155","3,388"
Mali,"3,223","3,284","3,372","3,362","2,575","3,337","3,416","3,208","3,328","3,444"
Rwanda,"2,954","2,179","2,313","2,231","1,418","1,47","1,593","2,144","2,29","2,131"
Republic of the Congo,"2,909","3,035","3,28","3,004","2,068","2,457","2,84","2,568","2,24","2,646"
Benin,"2,89","2,954","3,284","3,199","2,227","2,993","3,251","3,124","3,362","3,681"
Lebanon,"2,801","4,392","5,472","7,435","8,988","10,971","12,824","15,535","17,059","17,174"
Togo,"2,772","2,74","2,873","2,189","1,697","2,24","2,448","2,494","2,361","2,37"
Mauritius,"2,743","3,017","3,398","3,502","3,887","4,439","4,59","4,31","4,354","4,597"
Mongolia,"2,678","2,821","1,566",771,926,"1,452","1,348","1,181","1,125","1,057"
Namibia,"2,568","2,841","3,296","3,156","3,537","3,948","3,954","4,11","3,832","3,824"
Chad,"2,488","2,465","2,57","2,246","1,819","2,23","2,479","2,382","2,69","2,37"
Sudan,"2,245","2,528","3,1","5,246","5,961","6,694","8,377","10,241","10,924","10,714"
Albania,"2,221","1,333",843,"1,461","2,361","2,882","3,2","2,259","2,56","3,209"
Barbados,"2,024","2,032","1,957","2,075","2,163","2,229","2,377","2,513","2,833","2,969"
Mauritania,"1,793","2,055","2,164","1,847","1,945","2,092","2,132","2,072","2,027","1,986"
Laos,"1,742","2,053","2,354","2,652","3,081","3,579","3,726","3,515","1,334","1,415"
Haiti,"1,706","1,53",918,"1,107","3,054","4,846",5,"5,748","6,408","7,148"
Central African Republic,"1,572","1,498","1,494","1,309",858,"1,117",1,979,"1,036","1,039"
Fiji,"1,448","1,5","1,659","1,772","1,977","2,134","2,307","2,268","1,795","2,104"
Eswatini,"1,237","1,285","1,425","1,497","1,621","1,932","1,83","1,957","1,797","1,764"
Burundi,"1,131","1,167","1,082",938,924,1,868,972,893,866
Sierra Leone,948,"1,138",992,"1,122","1,331","1,273","1,374","1,24",981,977
Cambodia,909,"2,033","2,466","2,453","2,795","3,479","3,545","3,481","3,164","3,551"
Gambia,721,760,820,878,870,909,949,983,"1,009","1,036"
Guyana,685,744,823,"1,003","1,176","1,332","1,495","1,587","1,5","1,488"
Lesotho,635,743,863,865,915,"1,032",977,"1,027",949,937
Saint Lucia,579,613,674,684,713,762,788,805,877,921
Suriname,577,637,590,465,523,993,"1,234","1,322","1,588","1,308"
Guinea-Bissau,548,772,846,653,361,778,741,704,592,580
Belize,533,578,672,726,750,796,828,845,892,950
Nicaragua,519,"3,678","3,894","3,726","3,861","4,14","4,308","4,39","4,635","4,856"
Antigua and Barbuda,459,482,499,535,589,577,634,681,728,766
Comoros,401,400,436,427,314,392,392,362,363,372
Seychelles,369,374,434,474,486,508,503,563,608,623
Cape Verde,339,353,395,398,448,536,553,540,575,657
Bhutan,293,254,248,260,263,308,324,362,398,418
Grenada,278,301,310,310,325,342,367,392,446,482
