Country (or area),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Fiji *,223,249,320,430,564,691,702,727,838,"1,03"
Barbados *,216,243,278,339,405,476,517,588,658,798
Mauritius *,197,221,278,348,578,581,722,844,"1,041","1,241"
Aruba *,177,186,196,206,217,229,241,254,268,282
Palestine *,177,204,295,368,577,579,680,700,728,846
Mongolia *,172,189,204,235,267,311,342,392,451,510
Macau *,165,197,241,328,377,436,433,554,723,822
South Yemen,154,142,159,130,138,141,183,226,272,293
Swaziland *,123,157,161,220,268,329,309,346,387,469
Laos *,113,125,134,154,174,204,222,231,250,265
Andorra *,99,113,144,191,236,279,288,321,390,521
Gambia *,96,101,132,224,293,352,323,342,406,445
Liechtenstein *,90,105,125,166,194,246,272,303,437,503
San Marino *,78,85,99,120,136,156,154,176,215,269
Greenland *,68,87,104,138,167,208,237,278,350,414
Botswana *,67,88,115,169,236,274,297,383,456,595
Lesotho *,67,65,77,116,132,138,136,178,245,267
Djibouti *,66,75,90,112,141,157,187,201,221,264
Cape Verde *,64,72,82,101,101,118,110,103,119,127
Bhutan *,62,66,70,79,93,87,88,98,94,105
Samoa *,40,48,56,74,83,83,76,87,96,109
Maldives *,38,42,49,60,76,48,44,41,47,75
São Tomé and Príncipe *,38,38,42,56,58,61,52,50,55,66
Vanuatu *,38,41,55,67,67,81,78,82,100,132
Antigua and Barbuda *,34,41,56,78,84,85,71,81,92,113
Solomon Islands *,32,35,38,51,73,65,72,82,98,130
Saint Lucia *,30,35,40,45,61,71,73,81,95,115
Belize *,25,32,42,68,90,104,82,106,121,141
Cayman Islands *,24,30,39,51,60,72,86,102,122,145
Dominica *,23,26,28,32,38,40,39,44,54,53
Seychelles *,23,27,38,46,53,59,61,80,106,157
Kiribati *,21,22,28,46,83,80,60,56,65,62
Micronesia *,21,23,27,37,49,49,50,50,57,64
Saint Kitts and Nevis *,21,25,30,31,41,43,37,38,43,50
Saint Vincent and the Grenadines *,21,23,32,35,38,38,37,43,54,63
British Virgin Islands *,20,17,18,20,24,27,29,30,35,43
Comoros *,20,22,26,34,39,60,59,65,85,113
Equatorial Guinea *,20,21,20,26,27,34,35,39,44,50
Nauru *,18,19,22,27,32,29,29,28,31,33
Grenada *,17,21,28,35,36,44,44,50,64,75
Tonga *,17,19,23,34,46,43,39,45,54,58
Turks and Caicos Islands,10,11,12,14,16,18,20,23,25,29
Cook Islands *,9,9,9,12,14,14,13,15,18,20
Palau *,9,10,11,12,13,15,16,17,19,21
Marshall Islands *,8,9,10,12,15,17,18,20,22,26
Montserrat *,6,7,8,9,10,12,10,11,13,16
Anguilla *,4,5,5,6,7,7,7,8,9,11
Tuvalu *,3,3,3,4,4,4,4,4,4,4
